Where do you use JavaScript?,"Other than JavaScript, what are your primary development languages?"
,C/C++/Objective-C
At work;Side projects,
At work;Side projects,C#/.Net
At work;Side projects,Ruby
At work,C/C++/Objective-C;Python;Ruby
At work;Side projects,PHP
At work,PHP
At work;Side projects,Java
At work;Side projects,C#/.Net;Python;Erlang
At work;Side projects,Java;Ruby;Clojure;Go
At work,Java;PHP
At work,C#/.Net;Ruby
At work;Side projects,C/C++/Objective-C;PHP
Side projects,C#/.Net
At work;Side projects,
At work;Side projects,
At work;Side projects,Python;Ruby;haskell
At work;Side projects,Java;PHP
At work;Side projects,C#/.Net
At work;Side projects,C#/.Net;Python;Java
At work;Side projects,C#/.Net
At work;Side projects,PHP
At work;Side projects,PHP
At work;Side projects,Python;Java;Ruby
At work;Side projects,Ruby;PHP
At work;Side projects,
At work;Side projects,Python;Java;PHP
At work;Side projects,C#/.Net;Java
At work,Java;PHP
At work;Side projects,C#/.Net;Ruby
At work,
At work;Side projects,Clojure
At work;Side projects,C#/.Net;PHP
Side projects,C#/.Net
At work,C/C++/Objective-C;Perl;f#
At work;Side projects,Java;PHP;ColdFusion
At work;Side projects,PHP
At work,PHP
At work;Side projects,C/C++/Objective-C;Java;PHP
At work;Side projects,C/C++/Objective-C;Python;Java
At work;Side projects,
At work,PHP
At work;Side projects,PHP
At work,C#/.Net
At work;Side projects,C#/.Net
At work,js NOW IS primary!
At work;Side projects,Ruby
Side projects,Python
,PHP
At work;Side projects,C/C++/Objective-C;Python;Java;PHP
,C#/.Net
At work;Side projects,Java;Ruby;Scala
At work;Side projects,Python;Perl
Side projects,C#/.Net
At work;Side projects,C/C++/Objective-C;C#/.Net;Python
At work;Side projects,Ruby;PHP
Side projects,PHP
At work;Side projects,PHP
At work;Side projects;teaching,Scala
At work,Python
At work;Side projects,PHP
At work;Side projects,Ruby
At work,C/C++/Objective-C;Python;Java;Erlang
At work;Side projects,C#/.Net;PHP
At work;Side projects,Ruby
At work;Side projects,Ruby
At work;Side projects,PHP
At work,Ruby
At work;Side projects,Python;Java
